>>>>> Detector image results analysis <<<<<

imgs/imgsDB/carsgraz_014.image.png -> Precision: 0.994309 | Recall: 0.399651 | Accuracy: 0.949398
imgs/imgsDB/carsgraz_015.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.857731
imgs/imgsDB/carsgraz_189.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.993516
imgs/imgsDB/carsgraz_315.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.996292
imgs/imgsDB/carsgraz_280.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.915879
imgs/imgsDB/carsgraz_131.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.871331
imgs/imgsDB/carsgraz_212.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.943903
imgs/imgsDB/carsgraz_184.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.83499
imgs/imgsDB/carsgraz_144.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.984596
imgs/imgsDB/carsgraz_291.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.900706
imgs/imgsDB/carsgraz_010.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.961683
imgs/imgsDB/carsgraz_132.image.png -> Precision: 0.406901 | Recall: 0.410914 | Accuracy: 0.994118
imgs/imgsDB/carsgraz_165.image.png -> Precision: 0.858103 | Recall: 0.198082 | Accuracy: 0.805648
imgs/imgsDB/carsgraz_191.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.923757
imgs/imgsDB/carsgraz_049.image.png -> Precision: 0.33534 | Recall: 0.804806 | Accuracy: 0.845518
imgs/imgsDB/carsgraz_167.image.png -> Precision: 0.269612 | Recall: 0.358874 | Accuracy: 0.736253
imgs/imgsDB/carsgraz_138.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.91901
imgs/imgsDB/carsgraz_020.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.892702
imgs/imgsDB/carsgraz_179.image.png -> Precision: 1 | Recall: 0.0854726 | Accuracy: 0.839505
imgs/imgsDB/carsgraz_101.image.png -> Precision: 0.848814 | Recall: 0.3731 | Accuracy: 0.858034
imgs/imgsDB/carsgraz_298.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.9829


>>>>> Detector global results analysis <<<<<
 ==>Global precision: 0.235781 | Global recall: 0.161839 | Global accuracy: 0.873703
